n,mean_var_est,sd_var_est,q05_var,q95_var,mean_score_est,sd_score_est,theologian,domain,analysis_type
5,0.161868,0.15321344358309155,0,0.45084999999999925,6.90028,0.18732780095335558,rutledge,aristoteles,sequential
10,0.17384755555555556,0.1137742264366227,0.03817777777777778,0.4223333333333334,6.90784,0.13672278757135747,rutledge,aristoteles,sequential
15,0.18069161904761905,0.09546492776070581,0.0554047619047619,0.3734285714285713,6.904,0.10568266907101106,rutledge,aristoteles,sequential
20,0.17308784210526318,0.08235120999047384,0.06934210526315789,0.32682236842105233,6.91129,0.08908399303820663,rutledge,aristoteles,sequential
25,0.17179740000000002,0.0698304928286876,0.08339666666666665,0.3030850000000001,6.909944,0.08107749369564864,rutledge,aristoteles,sequential
30,0.16817294252873563,0.06492780397746663,0.08037931034482759,0.28887643678160907,6.91302,0.07438886046093815,rutledge,aristoteles,sequential
35,0.16818114285714286,0.057330629629094854,0.09139411764705879,0.2796176470588236,6.910588571428572,0.06765827015061973,rutledge,aristoteles,sequential
40,0.17246526923076924,0.05470735677285473,0.09110384615384615,0.26932435897435897,6.910635,0.05974024664443792,rutledge,aristoteles,sequential
45,0.16948971717171718,0.04826707950330098,0.09960353535353533,0.26365404040404045,6.918195555555555,0.057884074667402564,rutledge,aristoteles,sequential
50,0.17115341224489797,0.04719052993395978,0.10483204081632659,0.25454775510204064,6.908532,0.054221221470153506,rutledge,aristoteles,sequential
55,0.16797074747474747,0.04285899784603433,0.1030848484848484,0.24303063973063968,6.913989090909091,0.05256690811793715,rutledge,aristoteles,sequential
60,0.16898053672316385,0.043254955500127555,0.10389435028248598,0.24647175141242914,6.91237,0.04935578969931057,rutledge,aristoteles,sequential
65,0.1683088076923077,0.03731572512345421,0.11115096153846159,0.22825192307692313,6.912563076923077,0.043586212995209886,rutledge,aristoteles,sequential
70,0.17113619875776398,0.036040531834182744,0.11753623188405803,0.23217028985507213,6.910708571428572,0.04327277190133574,rutledge,aristoteles,sequential
75,0.1725038990990991,0.03543590793684,0.11899549549549557,0.2325996396396395,6.910970666666667,0.04133458347065442,rutledge,aristoteles,sequential
80,0.1676251898734177,0.032688633004037036,0.11640474683544308,0.21960632911392422,6.9119,0.04036426076486712,rutledge,aristoteles,sequential
85,0.16880145098039215,0.034234422664598134,0.11600210084033613,0.22813641456582637,6.9126070588235295,0.03973393674485273,rutledge,aristoteles,sequential
90,0.16559750561797754,0.030320822621135474,0.12006672908863902,0.22233451935081147,6.914011111111111,0.03725943230947224,rutledge,aristoteles,sequential
95,0.16987531019036956,0.032137374929438536,0.12074804031354974,0.22439193729003365,6.91096,0.03796162831317948,rutledge,aristoteles,sequential
100,0.16929158181818182,0.029578642066243933,0.12220343434343411,0.22014520202020202,6.909274,0.03535005199929283,rutledge,aristoteles,sequential
105,0.16758143956043958,0.028286560681506156,0.12436217948717958,0.21547289377289394,6.913754285714286,0.033300825777718306,rutledge,aristoteles,sequential
110,0.16920894912427023,0.02902631443860438,0.12137718932443702,0.2177380733944954,6.910169090909091,0.033498476615220894,rutledge,aristoteles,sequential
